Name,Address,Source
PROP_RTC,0x000000A0,ML_SYM
current_interrupt,0x0000064C,ML_SYM
create_init_task,0x00003168,ML_SYM
DryosDebugMsg,0x00006904,ML_SYM
dm_set_store_level,0x00006C70,ML_SYM
SetHPTimerAfterNow,0x00007F94,EVENTPROC
SetHPTimerNextTick,0x00008094,EVENTPROC
create_named_semaphore,0x000091DC,ML_SYM
take_semaphore_now,0x000092E4,ML_SYM
take_semaphore,0x0000933C,ML_SYM
give_semaphore,0x00009428,ML_SYM
msleep,0x00009818,ML_SYM
task_create,0x000098CC,ML_SYM
GetSizeOfMaxRegion,0x0000A4A8,ML_SYM
GetMemoryInformation,0x0000A4FC,ML_SYM
AllocateMemory,0x0000A75C,ML_SYM
FreeMemory,0x0000AAF8,ML_SYM
CreateMemoryChunk,0x0000B45C,ML_SYM
GetMemoryAddressOfMemoryChunk,0x0000BA08,ML_SYM
AddMemoryChunk,0x0000BC70,ML_SYM
GetFirstChunkFromSuite,0x0000BD8C,ML_SYM
DeleteMemorySuite,0x0000C070,ML_SYM
CreateMemorySuite,0x0000C420,ML_SYM
GetNextMemoryChunk,0x0000CA90,ML_SYM
CreateRecursiveLock,0x0000D4D0,ML_SYM
dma_memcpy,0x0000D834,ML_SYM
SetTimerAfter,0x0000E8AC,EVENTPROC
CancelTimer,0x0000EAAC,ML_SYM
task_trampoline,0x0000EF60,ML_SYM
SetEDmac,0x00037DD0,EVENTPROC
ConnectWriteEDmac,0x00037F30,ML_SYM
ConnectReadEDmac,0x00037FF4,ML_SYM
StartEDmac,0x0003817C,ML_SYM
AbortEDmac,0x000384A0,ML_SYM
RegisterEDmacCompleteCBR,0x00038540,ML_SYM
UnregisterEDmacCompleteCBR,0x0003857C,ML_SYM
RegisterEDmacAbortCBR,0x000385D4,ML_SYM
UnregisterEDmacAbortCBR,0x00038610,ML_SYM
RegisterEDmacPopCBR,0x00038668,ML_SYM
UnregisterEDmacPopCBR,0x000386A4,ML_SYM
msg_queue_create,0x0003A4E8,ML_SYM
msg_queue_receive,0x0003A5F8,ML_SYM
msg_queue_post,0x0003A7E4,ML_SYM
msg_queue_count,0x0003A824,ML_SYM
