rom1_offset,rom1_addr,name,runtime_func_addr
0xA15C54,0xF8A15C54,FA_SetCalendar,0xFF1CE8F8
0xA15C64,0xF8A15C64,FA_ResetCalendar,0xFF1CE888
0xA15C74,0xF8A15C74,FA_CreateTestImage,0xFF1CEE18
0xA15C8C,0xF8A15C8C,FA_GetCrawBuf,0xFF1CF9F4
0xA15C94,0xF8A15C94,FA_GetCaptureWinAddress,0xFF1CFA18
0xA15C9C,0xF8A15C9C,FA_GetBlockIntegBuf,0xFF1CFA44
0xA15CAC,0xF8A15CAC,FA_EnableAF,0xFF1CEB18
0xA15CB4,0xF8A15CB4,FA_DisableAF,0xFF1CEB10
0xA15CBC,0xF8A15CBC,FA_SetupDigitalPropertyData,0xFF1D03D0
0xA15CC4,0xF8A15CC4,FA_GetCheckFlagBoardInf,0xFF1D0444
0xA15CCC,0xF8A15CCC,FA_GetCheckProgramVersionBoardInf,0xFF1D046C
0xA15CD4,0xF8A15CD4,FA_GetCheckModelNoInf,0xFF1D0494
0xA15CDC,0xF8A15CDC,FA_CopyVideoBoardInf,0xFF1D0584
0xA15CE4,0xF8A15CE4,FA_CopyAVoltageBoardInf,0xFF1D04BC
0xA15CEC,0xF8A15CEC,FA_CopySecurityBoardInf,0xFF1D07C8
0xA15CF4,0xF8A15CF4,FA_CopyVistaUniqueID,0xFF1D092C
0xA15CFC,0xF8A15CFC,FA_ReadEepromData,0xFF1D04C4
0xA15D0C,0xF8A15D0C,FA_GetImageThermometerAdcData,0xFF1CF82C
0xA15D14,0xF8A15D14,FA_GetIcuCheckSum,0xFF1CEB20
0xA15D24,0xF8A15D24,FA_DISP_Start100White,0xFF1D10C4
0xA15D2C,0xF8A15D2C,FA_DISP_End100White,0xFF1D10FC
0xA15D34,0xF8A15D34,FA_DISP_Start50Gray,0xFF1D112C
0xA15D3C,0xF8A15D3C,FA_DISP_End50Gray,0xFF1D1164
0xA15D4C,0xF8A15D4C,FA_DISP_StartMix,0xFF1D1318
0xA15D54,0xF8A15D54,FA_DISP_EndColor,0xFF1D12E8
0xA15D5C,0xF8A15D5C,FA_DISP_SetBrightness,0xFF1D1358
0xA15D64,0xF8A15D64,FA_DISP_COM_SetCamera,0xFF1D1364
0xA15D6C,0xF8A15D6C,FA_DISP_LightMeasure,0xFF1D1450
0xA15D74,0xF8A15D74,FA_StartLiveView,0xFF1CFE00
0xA15D7C,0xF8A15D7C,FA_StopLiveView,0xFF1CFE30
0xA15D94,0xF8A15D94,FA_GetPITimeData,0xFF1CFEBC
0xA15DCC,0xF8A15DCC,FA_IncreaseGap,0xFF195E18
0xA15DD4,0xF8A15DD4,FA_DecreaseGap,0xFF195E78
0xA15DDC,0xF8A15DDC,FA_GuiFactoryClearResult,0xFF1951A8
0xA15DE4,0xF8A15DE4,FA_ShowResult,0xFF194E1C
0xA15DEC,0xF8A15DEC,FA_SetTouchTestTime,0xFF193BCC
0xA15DF4,0xF8A15DF4,FA_SetTouchIntervalTime,0xFF193BDC
0xA15E04,0xF8A15E04,FA_Get_DispDial_Result,0xFF1954C8
0xA15E0C,0xF8A15E0C,FA_Get_AccTest_Result,0xFF195498
0xA15E1C,0xF8A15E1C,FA_SendAccStartCommand,0xFF195D5C
0xA15E24,0xF8A15E24,FA_Get_DispDial_Table,0xFF195294
0xA15E2C,0xF8A15E2C,FA_Get_AccTest_Table,0xFF19534C
0xA15E3C,0xF8A15E3C,FA_StartLvTestImage,0xFF1D00B8
0xA15E44,0xF8A15E44,FA_StopLvTestImage,0xFF1D0104
0xA15E4C,0xF8A15E4C,FA_StartLvTestExposureImage,0xFF1D0144
0xA15E54,0xF8A15E54,FA_StopLvTestExposureImage,0xFF1D0190
