file_offset,str_ptr,func_ptr,name
0x001636B8,0xFF162F94,0xFF162FA8,DisablePowerSave
0x001636BC,0xFF162FA8,0xFF162FD4,PROPAD_GetPropertyCountByDataType Err=%d
0x001636C0,0xFF162FD4,0xFF163004,PROPAD_GetPropertyCountByDataType IdCount=%d
0x001636C4,0xFF163004,0xFF163024,AllocateUncacheableMemory NULL
0x001636C8,0xFF163024,0xFF163044,AllocateUncacheableMemory %#lx
0x001BA0D8,0xFF1B8A80,0xFFC100D8,Scene_1
0x001BA0DC,0xFFC100D8,0x000787AE,id
0x001C2568,0xFF1C1300,0xFF1BFE4C,FindObj(GpsStock)
0x001C256C,0xFF1BFE4C,0xFF1BFE84,SRM_AllocateMemoryForFileHeader failed [%#x]
0x001C333C,0xFF1C2C80,0xFF1C2CB4,ConvertToJpegHeader : TIFF_TAG_DATETIME [%#x]
0x001C3340,0xFF1C2CB4,0xFF1C2CCC,TIFF_TAG_ARTIST failed.
0x001C3344,0xFF1C2CCC,0xFF1C2CFC,ConvertToJpegHeader : TIFF_TAG_ARTIST [%#x]
0x001D3CEC,0xFF1D2208,0xFF1D2230,FA_SetCRawBitNum
0x001D3CF0,0xFF1D2230,0xFF1D2244,FA_SetObIntegMode
0x001D3CF4,0xFF1D2244,0xFF1D225C,FA_SetProjectionMode
0x001D3CF8,0xFF1D225C,0xFF1D2274,FA_SetBayerComponent
0x001D3CFC,0xFF1D2274,0xFF1D2288,FA_SetChannelNum
0x001D3D00,0xFF1D2288,0xFF1D22A0,FA_SetDarkLevelValue
0x001D3D04,0xFF1D22A0,0xFF1D22B8,FA_SetProjectionWindow
0x001D3D08,0xFF1D22B8,0xFF1D22D0,FA_SetHProjectionRange
0x001D49C0,0xFF1D3C50,0xFF1D3C70,FA_SetLvControlAEParam
0x001D49C4,0xFF1D3C70,0xFF1D3C84,FA_StartLvTestImage
0x001D49C8,0xFF1D3C84,0xFF1D3CA4,FA_SetContinuasCaptureForIso
0x001D49CC,0xFF1D3CA4,0xFF1D3CC0,FA_SetLvCaptureStartFrame
0x001D49D0,0xFF1D3CC0,0xFF1D3CD8,FA_SetLvProjectionMode
0x001D529C,0xFF1D21D0,0xFF1D21F8,FA_CreateTestImage
0x001D52A0,0xFF1D21F8,0xFF1D2208,FA_GetCrawBuf
0x001D52A4,0xFF1D2208,0xFF1D2230,FA_SetCRawBitNum
0x001D52A8,0xFF1D2230,0xFF1D2244,FA_SetObIntegMode
0x001D52AC,0xFF1D2244,0xFF1D225C,FA_SetProjectionMode
0x001D52B0,0xFF1D225C,0xFF1D2274,FA_SetBayerComponent
0x001D52B4,0xFF1D2274,0xFF1D2288,FA_SetChannelNum
0x001D52B8,0xFF1D2288,0xFF1D22A0,FA_SetDarkLevelValue
0x001D52BC,0xFF1D22A0,0xFF1D22B8,FA_SetProjectionWindow
0x001D52C0,0xFF1D22B8,0xFF1D22D0,FA_SetHProjectionRange
0x001D5310,0xFF1D2B2C,0xFF1D2B48,FA_RegistSavePropertyList
0x001D5314,0xFF1D2B48,0xFF1D2B5C,FA_SavePropertyList
0x001D5DD8,0xFF1D2190,0xFF1D21E4,FA_SetProperty
0x001D5DDC,0xFF1D21E4,0xFF1D221C,FA_CaptureTestImage
0x00213B18,0xFF2133F8,0xFF213424,this->MemoryMap[MCTRL_CURRENT] Default!!!
0x00213B1C,0xFF213424,0xFF21344C,ST_MEM_MAP_INNER_DEVELOP PROP_LV_PERMIT
0x0021F9CC,0xFF21F078,0xFF21F084,JPEG_OBWB
0x0021F9D0,0xFF21F084,0xFF21F0A8,RemoveObject : JPEG_OBWB not found
0x0021F9D4,0xFF21F0A8,0xFF21F0B4,LUCKY_ANGEL
0x0021F9D8,0xFF21F0B4,0xFF21F0DC,RemoveObject : LUCKY_ANGEL not found
0x0021F9DC,0xFF21F0DC,0xFF21F0E8,ENABLE_FLAG
0x0021F9E0,0xFF21F0E8,0xFF21F110,RemoveObject : ENABLE_FLAG not found
0x0021F9E4,0xFF21F110,0xFF21F120,CORRECT_DATA
0x0021F9E8,0xFF21F120,0xFF21F148,RemoveObject : CORRECT_DATA not found
0x0021F9EC,0xFF21F148,0xFF21F158,VARIABLE_DATA
0x0021F9F0,0xFF21F158,0xFF21F180,RemoveObject : VARIABLE_DATA not found
0x0021F9F4,0xFF21F180,0xFF21F18C,RAW_OBWB
0x0021F9F8,0xFF21F18C,0xFF21F1B0,RemoveObject : RAW_OBWB not found
0x0021F9FC,0xFF21F1B0,0xFF21F1BC,SRAW_OBWB
0x0021FA00,0xFF21F1BC,0xFF21F1E0,RemoveObject : SRAW_OBWB not found
0x0021FA04,0xFF21F1E0,0xFF21F1EC,LRAW_YUV
0x0021FA08,0xFF21F1EC,0xFF21F210,RemoveObject : LRAW_YUV not found
0x0021FA0C,0xFF21F210,0xFF21F21C,MRAW_YUV
0x0021FA10,0xFF21F21C,0xFF21F240,RemoveObject : MRAW_YUV not found
0x0021FA14,0xFF21F240,0xFF21F24C,SRAW_YUV
0x0021FA18,0xFF21F24C,0xFF21F270,RemoveObject : SRAW_YUV not found
0x0021FA1C,0xFF21F270,0xFF21F27C,JPEG_LF_YUV
0x0021FA20,0xFF21F27C,0xFF21F2A4,RemoveObject : JPEG_LF_YUV not found
0x0021FA24,0xFF21F2A4,0xFF21F2B0,JPEG_LN_YUV
0x0021FA28,0xFF21F2B0,0xFF21F2D8,RemoveObject : JPEG_LN_YUV not found
0x0021FA2C,0xFF21F2D8,0xFF21F2E4,JPEG_MF_YUV
0x0021FA30,0xFF21F2E4,0xFF21F30C,RemoveObject : JPEG_MF_YUV not found
0x0021FA34,0xFF21F30C,0xFF21F318,JPEG_MN_YUV
0x0021FA38,0xFF21F318,0xFF21F340,RemoveObject : JPEG_MN_YUV not found
0x0021FA3C,0xFF21F340,0xFF21F34C,JPEG_SF_YUV
0x0021FA40,0xFF21F34C,0xFF21F374,RemoveObject : JPEG_SF_YUV not found
0x0021FA44,0xFF21F374,0xFF21F380,JPEG_SN_YUV
0x0021FA48,0xFF21F380,0xFF21F3A8,RemoveObject : JPEG_SN_YUV not found
0x0021FA4C,0xFF21F3A8,0xFF21F56C,JPEG_S2_YUV
0x00225088,0xFF21D28C,0xFF21D2CC,SRM_AllocateMemoryResourceForJobObject failed [%#x, %#x]
0x0022508C,0xFF21D2CC,0xFF21D7F0,SRM_AllocateMemoryResourceForCaptureWork failed [%#x, %#x]
0x0027C494,0xFF27BDEC,0xFF27C388,PROP_REMOTE_RELEASE[%x]
0x0027C498,0xFF27C388,0xFF27B998,d�
0x002EFAC0,0xFF2EF348,0xFF2EF364,FC_CreateFilePath (%#x)
0x002EFAC4,0xFF2EF364,0xFF2EF634,FW_AsyncWriteFile (%#x)
0x002F103C,0xFF2F07DC,0xFF2F07F4,FIO_GetFileTime (%#x)
0x002F1040,0xFF2F07F4,0xFF2F0810,FIO_GetFileAttributes (%#x)
0x002F1044,0xFF2F0810,0xFF2F0828,FIO_SetFileTime (%#x)
0x003028DC,0xFF2FC18C,0xFF2FC1A8,GPS_TAG_LATITUDEREF failed
0x003028E0,0xFF2FC1A8,0xFF2FC1C0,GPS_TAG_LATITUDE failed
0x003028E4,0xFF2FC1C0,0xFF2FC1DC,GPS_TAG_LONGITUDEREF failed
0x003028E8,0xFF2FC1DC,0xFF2FC1F8,GPS_TAG_LONGITUDE failed
0x003028EC,0xFF2FC1F8,0xFF2FC214,GPS_TAG_ALTITUDEREF failed
0x003028F0,0xFF2FC214,0xFF2FC22C,GPS_TAG_ALTITUDE failed
0x003066B8,0xFF305048,0xFF3051D0,fmReadCR2FromFile : TIFF_TAG_IMAGELENGTH [%#x]

0x003066BC,0xFF3051D0,0xFF305208,fmReadCR2FromFile : TIFF_TAG_STRIPOFFSETS [%#x]

0x003D4E50,0xFF3D3E94,0xFF3D3EBC,EXIF_TAG_EXPOSUREMODE not Found.
0x003D4E54,0xFF3D3EBC,0xFF3D3EE4,EXIF_TAG_WHITEBALANCE not Found.
0x003D4E58,0xFF3D3EE4,0xFF3D3F10,EXIF_TAG_SCENECAPTURETYPE not Found.
0x003D4E5C,0xFF3D3F10,0xFF3D3F44,ConvertToJpegHeader : EXIF_TAG_LENSMODEL not Found
0x003DA3E8,0xFF3D90C4,0xFF3D9568,CanonLog
0x003DA3EC,0xFF3D9568,0xFF3D9590,PROP_PC_FLAVOR1_PARAM Cannot Find
0x003DA3F0,0xFF3D9590,0xFF3D95B8,PROP_PC_FLAVOR2_PARAM Cannot Find
0x003E3524,0xFF3E284C,0xFF3E2874,PROP_PC_FLAVOR1_PARAM Cannot Find
0x003E3528,0xFF3E2874,0xFF3E289C,PROP_PC_FLAVOR2_PARAM Cannot Find
0x008E836C,0xFF8E7984,0xFF8E79D8,DlgMnBatteryInfo.c TERMINATE_WINSYS
0x008E8370,0xFF8E79D8,0xFF8E7A2C,DlgMnBatteryInfo.c DELETE_DIALOG_REQUEST
0x009B66F4,0xFF9B5F9C,0xFF9B5F68,ul_rfc2459_paramsLen != NULL
0x009B66F8,0xFF9B5F68,0xFF9B5F58,status != NULL
0x00A0FE00,0xFFA0F48C,0xFFA0F4AC,Missing Required Attributes

0x00A0FE04,0xFFA0F4AC,0xFFA0F4D8,Missing Required Encrypted Attributes

0x00A0FE08,0xFFA0F4D8,0xFFA0F444,req_para=%d	req_enc_para=%d

0x00A134E4,0xFFA12B64,0xFFA12B84,Missing Required Attributes

0x00A134E8,0xFFA12B84,0xFFA12BB0,Missing Required Encrypted Attributes

0x00A134EC,0xFFA12BB0,0xFFA12B1C,req_para=%d	req_enc_para=%d

0x00A14F54,0xFFD45517,0xFFD454FD,ShootVfx
0x00A14F58,0xFFD454FD,0xFFD462D8,SVS_SetCurrentStateObject
0x00A14F5C,0xFFD462D8,0xFFD454E2,HDR
0x00A14F60,0xFFD454E2,0xFFD454E7,TA10
0x00A14F64,0xFFD454E7,0xFFD462EA,GIS
0x00A14F68,0xFFD462EA,0xFFD454EB,Potato
0x00A14F6C,0xFFD454EB,0xFFD45520,Non Current Table
0x00A14F70,0xFFD45520,0xFFD45524,Evf
0x00A14F74,0xFFD45524,0xFFD4552D,LVFACE
0x00A14F78,0xFFD4552D,0xFF0D4D38,lockface
0x00A15C5C,0xFFD45B8C,0xFF1CEA48,FA_GetCalendar
0x00A15C60,0xFF1CEA48,0xFFD45BAA,p@-�B
0x00A15C64,0xFFD45BAA,0xFF1CE888,FA_ResetCalendar
0x00A15C7C,0xFFD4546E,0xFF1CF00C,FA_DeleteTestImage
0x00A15C80,0xFF1CF00C,0xFFD457D1,p@-�
0x00A15C84,0xFFD457D1,0xFF1CF46C,FA_CaptureTestImage
0x00A15CA4,0xFFD45A86,0xFF1CFA68,FA_GetShootingParam
0x00A15CA8,0xFF1CFA68,0xFFD455DA,p@-�
0x00A15CAC,0xFFD455DA,0xFF1CEB18,FA_EnableAF
0x00A15CC4,0xFFD45964,0xFF1D0444,FA_GetCheckFlagBoardInf
0x00A15CC8,0xFF1D0444,0xFFD4597C,x��@-�
0x00A15CCC,0xFFD4597C,0xFF1D046C,FA_GetCheckProgramVersionBoardInf
0x00A15CD0,0xFF1D046C,0xFFD459CB,h��@-�
0x00A15CD4,0xFFD459CB,0xFF1D0494,FA_GetCheckModelNoInf
