rom1_addr,name,namespace
0xF8A15C54,FA_SetCalendar,eventproc
0xF8A15C64,FA_ResetCalendar,eventproc
0xF8A15C74,FA_CreateTestImage,eventproc
0xF8A15C8C,FA_GetCrawBuf,eventproc
0xF8A15C94,FA_GetCaptureWinAddress,eventproc
0xF8A15C9C,FA_GetBlockIntegBuf,eventproc
0xF8A15CAC,FA_EnableAF,eventproc
0xF8A15CB4,FA_DisableAF,eventproc
0xF8A15CBC,FA_SetupDigitalPropertyData,eventproc
0xF8A15CC4,FA_GetCheckFlagBoardInf,eventproc
0xF8A15CCC,FA_GetCheckProgramVersionBoardInf,eventproc
0xF8A15CD4,FA_GetCheckModelNoInf,eventproc
0xF8A15CDC,FA_CopyVideoBoardInf,eventproc
0xF8A15CE4,FA_CopyAVoltageBoardInf,eventproc
0xF8A15CEC,FA_CopySecurityBoardInf,eventproc
0xF8A15CF4,FA_CopyVistaUniqueID,eventproc
0xF8A15CFC,FA_ReadEepromData,eventproc
0xF8A15D0C,FA_GetImageThermometerAdcData,eventproc
0xF8A15D14,FA_GetIcuCheckSum,eventproc
0xF8A15D24,FA_DISP_Start100White,eventproc
0xF8A15D2C,FA_DISP_End100White,eventproc
0xF8A15D34,FA_DISP_Start50Gray,eventproc
0xF8A15D3C,FA_DISP_End50Gray,eventproc
0xF8A15D4C,FA_DISP_StartMix,eventproc
0xF8A15D54,FA_DISP_EndColor,eventproc
0xF8A15D5C,FA_DISP_SetBrightness,eventproc
0xF8A15D64,FA_DISP_COM_SetCamera,eventproc
0xF8A15D6C,FA_DISP_LightMeasure,eventproc
0xF8A15D74,FA_StartLiveView,eventproc
0xF8A15D7C,FA_StopLiveView,eventproc
0xF8A15D94,FA_GetPITimeData,eventproc
0xF8A15DCC,FA_IncreaseGap,eventproc
0xF8A15DD4,FA_DecreaseGap,eventproc
0xF8A15DDC,FA_GuiFactoryClearResult,eventproc
0xF8A15DE4,FA_ShowResult,eventproc
0xF8A15DEC,FA_SetTouchTestTime,eventproc
0xF8A15DF4,FA_SetTouchIntervalTime,eventproc
0xF8A15E04,FA_Get_DispDial_Result,eventproc
0xF8A15E0C,FA_Get_AccTest_Result,eventproc
0xF8A15E1C,FA_SendAccStartCommand,eventproc
0xF8A15E24,FA_Get_DispDial_Table,eventproc
0xF8A15E2C,FA_Get_AccTest_Table,eventproc
0xF8A15E3C,FA_StartLvTestImage,eventproc
0xF8A15E44,FA_StopLvTestImage,eventproc
0xF8A15E4C,FA_StartLvTestExposureImage,eventproc
0xF8A15E54,FA_StopLvTestExposureImage,eventproc
0xF8A15E64,FA_SetLvProjectionMode,eventproc
0xF8A15E6C,FA_LvJpegCheck,eventproc
0xF8A15E74,FA_GetJpegSizeForLV,eventproc
0xF8A15E7C,FA_GetJpegBufForLV,eventproc
0xF8A15E84,FA_SetContinuasCaptureForIso,eventproc
0xF8A15E8C,FA_SetContinuasCaptureForAccum,eventproc
0xF8A15E94,FA_SetContinuasCaptureForIsoAccum,eventproc
0xF8A15E9C,FA_SetLvCaptureStartFrame,eventproc
0xF8A15EA4,FA_LvDefectMaxCountFull,eventproc
0xF8A15EAC,FA_LvDetectDefectsFull,eventproc
0xF8A15EB4,FA_LvDefectMaxCountMagnify,eventproc
0xF8A15EBC,FA_LvDetectDefectsMagnify,eventproc
0xF8A15EC4,FA_LvMargeDefectsMagnify,eventproc
0xF8A15ECC,FA_GetLvDetectDefectsNumFull,eventproc
0xF8A15ED4,FA_GetLvDetectDefectsNumMagnify,eventproc
0xF8A15EDC,FA_GetLvDefMaergeCountMagnify,eventproc
0xF8A15EE4,FA_SetLvDefectMaxCountMovieCrop,eventproc
0xF8A15EEC,FA_GetLvDefMaxCountMovieCrop,eventproc
0xF8A15EF4,FA_LvDetectDefectsMovieCrop,eventproc
0xF8A15EFC,FA_YuvSsDevelopTestImage,eventproc
0xF8A15F04,FA_RegisterPostNextCBR,eventproc
0xF8A15F0C,FA_UnregisterPostNextCBR,eventproc
0xF8A15F14,FA_DarkAdjAutoExecute,eventproc
0xF8A15F1C,FA_DarkCheckAutoExecutePP,eventproc
0xF8A15F24,FA_DarkCheckAutoExecuteCH,eventproc
0xF8A15F2C,FA_LvDarkAdjAutoExecute,eventproc
0xF8A15F34,FA_LvDarkCheckAutoExecutePP,eventproc
0xF8A15F3C,FA_LvDarkCheckAutoExecuteCH,eventproc
0xF8A15F44,FA_DarkLevelCheckAutoExecute,eventproc
0xF8A15F4C,FA_ChkAssembly,eventproc
0xF8A15F54,FA_SetMacAddress,eventproc
0xF8A15F64,FA_WriteMem1File,eventproc
0xF8A15F6C,FA_WriteMem1File2,eventproc
0xF8A15F74,FA_WriteYuvFile,eventproc
0xF8A15F84,FA_GetSoundLevel,eventproc
0xF8A7EA88,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,eventproc
0xF8A81DBC,MonOpen,eventproc
0xF8A81DC4,MonClose,eventproc
0xF8A81DCC,MonRead,eventproc
0xF8A81DDC,MonWrite,eventproc
0xF8A81DE4,MonCall,eventproc
0xF8A81DEC,FA_TestMonRead,eventproc
0xF8A81DF4,FA_TestMonCall,eventproc
0xF8A81DFC,FA_TestMonReadAndWrite,eventproc
0xF8BD59A8,PTPSetSessionID,eventproc
0xF8BD5CF4,LughDisconnect,eventproc
0xF8BD5CFC,LughPowerOn,eventproc
0xF8BD6AF8,SetPrintAngelParam,eventproc
0xF8BD6B00,SetPrintPonyParam,eventproc
0xF8BD6B08,SetSfrDevelopParam,eventproc
0xF8BD7304,FA_SetProperty,eventproc
0xF8BD730C,FA_SetProperty32,eventproc
0xF8BD7314,FA_ClearBitProperty32,eventproc
0xF8BD731C,FA_SeBitProperty32,eventproc
0xF8BD732C,FA_GetPropertyAddress,eventproc
0xF8BD733C,FA_LoadProperty,eventproc
0xF8BD7344,FA_AddProperty,eventproc
0xF8BD734C,FA_DeleteProperty,eventproc
0xF8BD735C,FA_SetSavePropertyListNum,eventproc
0xF8BD7364,FA_RegistSavePropertyList,eventproc
0xF8BD736C,FA_WaitSavePropertyList,eventproc
0xF8BD7374,FA_SavePropertyList,eventproc
0xF8BD737C,FA_GetTuneDataPropertyList,eventproc
0xF8BD7384,FA_GetPropertyDataSize,eventproc
0xF8BD738C,FA_DebugShdData,eventproc
0xF8BD7394,FA_SetCRawBitNum,eventproc
0xF8BD739C,FA_SetDarkLevelValue,eventproc
0xF8BD73A4,FA_SetShadingProductionValue,eventproc
0xF8BD73BC,FA_SetProjectionMode,eventproc
0xF8BD73C4,FA_SetChannelNum,eventproc
0xF8BD73CC,FA_SetBayerComponent,eventproc
0xF8BD73D4,FA_SetHProjectionRange,eventproc
0xF8BD73EC,FA_GetDetectDefCount,eventproc
0xF8BD73F4,FA_SetHLinePixelNum,eventproc
0xF8BD73FC,FA_SetMergeDefParameter,eventproc
0xF8BD7404,FA_GetMergeDefCount,eventproc
0xF8BD740C,FAC_SetupDigitalPropertyData,eventproc
0xF8BD7414,FA_GetDigitalPropertyDataOffset,eventproc
0xF8BD741C,FA_GetDigitalPropertyRegisterData,eventproc
0xF8BD7424,FA_SetDigitalPropertyRegisterData,eventproc
0xF8BD742C,FA_AddDigitalPropertyRegisterData,eventproc
0xF8BD7434,FA_CheckDigitalPropertyArray,eventproc
0xF8BD7444,FA_SubtractTestImage,eventproc
0xF8BD744C,FA_MaxSelectTestImage,eventproc
0xF8BD7454,FA_DefectsTestImage,eventproc
0xF8BD746C,FA_GetObInteg,eventproc
0xF8BD7484,FA_ZeroFillTestImage,eventproc
0xF8BD748C,FA_ZeroFillTestImageXY,eventproc
0xF8BD74AC,FA_HShadingGapCheckOnChannel,eventproc
0xF8BD74B4,FA_HShadingGapCheckAllChannel,eventproc
0xF8BD74BC,FA_HShadingGapCheckEitherSide,eventproc
0xF8BD74C4,FA_HShadingGapCheckOnChannelForTwoline,eventproc
0xF8BD74CC,FA_HShadingGapCheckAllChannelForTwoline,eventproc
0xF8BD74D4,FA_HShadingGapCheckEitherSideForTwoline,eventproc
0xF8BD74E4,FA_EnableLinearOffset,eventproc
0xF8BD74EC,FA_DisableLinearOffset,eventproc
0xF8BD74F4,FA_EnableFnoCorrect,eventproc
0xF8BD74FC,FA_DisableFnoCorrect,eventproc
0xF8BD7504,FA_EnableAccumGain,eventproc
0xF8BD750C,FA_DisableAccumGain,eventproc
0xF8BD7514,FA_EnableLtkids,eventproc
0xF8BD751C,FA_DisableLtkids,eventproc
0xF8BD752C,FA_SaveWbFix,eventproc
0xF8BD7534,FA_ReverseAdjust,eventproc
0xF8BD753C,FA_GetReverseAdjustSum,eventproc
0xF8BD7554,FA_GetWbCoef,eventproc
0xF8BD7564,FA_GetSsWbCoef,eventproc
0xF8BD756C,FA_UseAdjustDevelopParam,eventproc
0xF8BD7574,FA_UseAdjustSsDevelopParam,eventproc
0xF8BD757C,FA_YuvDevelopTestImage,eventproc
0xF8BD758C,FA_GetYuvSsDevelopParam,eventproc
0xF8BD7594,FA_CreateClrAdjustShootingInfo,eventproc
