call_name,func_runtime_addr,rom_offset
EnableHDMIAudio,0xFF13BC5C,0xF813C300
DisablePowerSave,0xFF162FA8,0xF81636B8
FA_CreateTestImage,0xFF1D21F8,0xF81D3C68
FA_DeleteTestImage,0xFF1D2304,0xF81D41C4
FA_StartLvTestImage,0xFF1D3C84,0xF81D49C4
FA_SavePropertyList,0xFF1D2B5C,0xF81D5314
FA_SetProperty,0xFF1D21E4,0xF81D5DD8
FA_SetCalendar,0xFF1CE8F8,0xF8A15C54
FA_GetCalendar,0xFF1CEA48,0xF8A15C5C
FA_ResetCalendar,0xFF1CE888,0xF8A15C64
FA_CreateTestImage,0xFF1CEE18,0xF8A15C74
FA_DeleteTestImage,0xFF1CF00C,0xF8A15C7C
FA_ReadEepromData,0xFF1D04C4,0xF8A15CFC
FA_WriteEepromData,0xFF1D0510,0xF8A15D04
FA_DISP_Start100White,0xFF1D10C4,0xF8A15D24
FA_DISP_End100White,0xFF1D10FC,0xF8A15D2C
FA_DISP_Start50Gray,0xFF1D112C,0xF8A15D34
FA_DISP_End50Gray,0xFF1D1164,0xF8A15D3C
FA_DISP_StartColor,0xFF1D1294,0xF8A15D44
FA_DISP_StartMix,0xFF1D1318,0xF8A15D4C
FA_DISP_EndColor,0xFF1D12E8,0xF8A15D54
FA_DISP_SetBrightness,0xFF1D1358,0xF8A15D5C
FA_DISP_COM_SetCamera,0xFF1D1364,0xF8A15D64
FA_StartLiveView,0xFF1CFE00,0xF8A15D74
FA_StopLiveView,0xFF1CFE30,0xF8A15D7C
FA_IncreaseGap,0xFF195E18,0xF8A15DCC
FA_DecreaseGap,0xFF195E78,0xF8A15DD4
FA_SetTouchTestTime,0xFF193BCC,0xF8A15DEC
FA_SetTouchIntervalTime,0xFF193BDC,0xF8A15DF4
FA_CheckSD,0xFF195ED8,0xF8A15E34
FA_StartLvTestImage,0xFF1D00B8,0xF8A15E3C
FA_StopLvTestImage,0xFF1D0104,0xF8A15E44
FA_StartLvTestExposureImage,0xFF1D0144,0xF8A15E4C
FA_StopLvTestExposureImage,0xFF1D0190,0xF8A15E54
FA_LvDefectMaxCountFull,0xFF1D0FA0,0xF8A15EA4
FA_LvDetectDefectsFull,0xFF1D0FA8,0xF8A15EAC
FA_LvDefectMaxCountMagnify,0xFF1D0FE0,0xF8A15EB4
FA_LvDetectDefectsMagnify,0xFF1D0FE8,0xF8A15EBC
FA_LvMargeDefectsMagnify,0xFF1D1020,0xF8A15EC4
FA_LvDetectDefectsMovieCrop,0xFF1D1068,0xF8A15EF4
FA_DarkAdjAutoExecute,0xFF1D18FC,0xF8A15F14
FA_DarkCheckAutoExecutePP,0xFF1D2C94,0xF8A15F1C
FA_DarkCheckAutoExecuteCH,0xFF1D324C,0xF8A15F24
FA_DarkLevelCheckAutoExecute,0xFF1D5B68,0xF8A15F44
FA_ChkAssembly,0xFF1D5E4C,0xF8A15F4C
FA_ChkWlan,0xFF1D5EB4,0xF8A15F5C
FA_SetProperty,0xFF4A6EC0,0xF8BD7304
FA_SetProperty32,0xFF4A6F98,0xF8BD730C
FA_GetProperty,0xFF4A71C8,0xF8BD7324
