file_offset,str_ptr_runtime,func_ptr_runtime,name
0x001BA0D8,0xFF1B8A80,0xFFC100D8,Scene_1
0x001BA0DC,0xFFC100D8,0x000787AE,id
0x00213B18,0xFF2133F8,0xFF213424,this->MemoryMap[MCTRL_CURRENT] Default!!!
0x00213B1C,0xFF213424,0xFF21344C,ST_MEM_MAP_INNER_DEVELOP PROP_LV_PERMIT
0x00225088,0xFF21D28C,0xFF21D2CC,SRM_AllocateMemoryResourceForJobObject failed [%#x, %#x]
0x0022508C,0xFF21D2CC,0xFF21D7F0,SRM_AllocateMemoryResourceForCaptureWork failed [%#x, %#x]
0x0027C494,0xFF27BDEC,0xFF27C388,PROP_REMOTE_RELEASE[%x]
0x0027C498,0xFF27C388,0xFF27B998,d�
0x003028DC,0xFF2FC18C,0xFF2FC1A8,GPS_TAG_LATITUDEREF failed
0x003028E0,0xFF2FC1A8,0xFF2FC1C0,GPS_TAG_LATITUDE failed
0x003028E4,0xFF2FC1C0,0xFF2FC1DC,GPS_TAG_LONGITUDEREF failed
0x003028E8,0xFF2FC1DC,0xFF2FC1F8,GPS_TAG_LONGITUDE failed
0x003028EC,0xFF2FC1F8,0xFF2FC214,GPS_TAG_ALTITUDEREF failed
0x003028F0,0xFF2FC214,0xFF2FC22C,GPS_TAG_ALTITUDE failed
0x003066B8,0xFF305048,0xFF3051D0,fmReadCR2FromFile : TIFF_TAG_IMAGELENGTH [%#x]
0x003066BC,0xFF3051D0,0xFF305208,fmReadCR2FromFile : TIFF_TAG_STRIPOFFSETS [%#x]
0x003E3524,0xFF3E284C,0xFF3E2874,PROP_PC_FLAVOR1_PARAM Cannot Find
0x003E3528,0xFF3E2874,0xFF3E289C,PROP_PC_FLAVOR2_PARAM Cannot Find
0x009B66F4,0xFF9B5F9C,0xFF9B5F68,ul_rfc2459_paramsLen != NULL
0x009B66F8,0xFF9B5F68,0xFF9B5F58,status != NULL
0x00A0FE00,0xFFA0F48C,0xFFA0F4AC,Missing Required Attributes
0x00A0FE04,0xFFA0F4AC,0xFFA0F4D8,Missing Required Encrypted Attributes
0x00A0FE08,0xFFA0F4D8,0xFFA0F444,req_para=%d	req_enc_para=%d
0x00A134E4,0xFFA12B64,0xFFA12B84,Missing Required Attributes
0x00A134E8,0xFFA12B84,0xFFA12BB0,Missing Required Encrypted Attributes
0x00A134EC,0xFFA12BB0,0xFFA12B1C,req_para=%d	req_enc_para=%d
0x00A78FEC,0xFFD465B1,0xFFD465A3,VramStage
0x00A78FF0,0xFFD465A3,0x00024A08,epp_jpeg2card
0x00BEA76C,0xFFD485E0,0xFFD485EB,REMOTE_CON
0x00BEA770,0xFFD485EB,0x000458D0,epphist_card
0x00BF15C4,0xFFD48392,0xFFD48602,VRAM_CON
0x00BF15C8,0xFFD48602,0x00047B3C,epp_ta10flag
0x00DC88C4,0xFFD46410,0xFF188934,gmtwaku_af
0x00DC88C8,0xFF188934,0xFFD46496,x��-�
0x00DC88CC,0xFFD46496,0xFF188B84,gmtwaku_gero
0x00DC88F4,0xFFD463E9,0xFF188F18,gmtwaku_zone
0x00DC88F8,0xFF188F18,0xFFD4647D,p@-�a��M�
0x00DC88FC,0xFFD4647D,0xFF1890EC,gmtwaku_all
0x00DEDCFC,0xFFD49275,0xFFD49262,touch_newInstance
0x00DEDD00,0xFFD49262,0xFFD49287,touch_initInstance
0x00DEDD04,0xFFD49287,0xFFD49287,touch_recognize
0x00DEDD08,0xFFD49287,0xFFD49297,touch_recognize
0x00DEDD0C,0xFFD49297,0xFFD49250,touch_setParameter
0x00DEDD10,0xFFD49250,0xFFD49238,touch_getDistance
0x00DEDD14,0xFFD49238,0xFFD49250,touch_getSquareDistance
0x00DEDD18,0xFFD49250,0xFFD492BC,touch_getDistance
0x00DEDD1C,0xFFD492BC,0xFFD492AA,setPoint
